hijacked,hijackedabbr,hijackedurl,althijackedurl,authentic,authenticabbr,authenticurl
ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES,,http://ardsj.com/,,Bulletin des séances- Académie royale des sciences d’outre-mer,,http://www.kaowarsom.be/fr/bulletins
Acoreana Journal,Journal of Acoreana,http://chm.tomaspubs.com/,,Açoreana: revista de estudos açoreanos,,http://www.worldcat.org/oclc/183195915
Acta Bioethica,,http://actabioethica.org/,,Acta Bioethica,,http://www.actabioethica.uchile.cl/index.php/AB/index
ACTA CIRURGICA BRASILEIRA,,http://actacirurgica.org/index.php,,Acta cirúrgica Brasileira,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=0102-8650&amp;lng=en&amp;nrm=i
Afinidad,,http://www.afinidad.org/,,Afinidad,,http://www.aiqs.es/catala/afinidad.asp
AGROCHIMICA,,http://www.agcjournal.org/,,Agrochimica,,http://www.pisauniversitypress.it/landing_page-le-riviste-agrochimica-1497.html
AIMS Report Journal,,http://aimsreport.org/,,AIMS report,,http://www.worldcat.org/oclc/220602820
The Journal of Albertiana,,http://www.albertiana.com/,,Albertiana,,http://paleo.cortland.edu/albertiana/
Amoeba Journal,,http://amoeba-journal.com/,,Amoeba: NJN-mededelingenblad,,http://www.worldcat.org/oclc/72979995
Anais da Academia Brasileira de Ciências,,http://www.aabc-scielo.com.br/,,Anais da Academia Brasileira de Ciências,,http://www.scielo.br/revistas/aabc/iaboutj.htm
Anare Research Notes,,http://arnjournal.com/,,ANARE Research Notes,,https://www1.data.antarctica.gov.au/aadc/pubs/pubs_list.cfm?pub_list=ARN
Journal Andamios,,http://andamios.org/,,"Andamios, Revista de Investigación Social",,http://www.redalyc.org/revista.oa?id=628
ANDRIAS JOURNAL,,https://scholarlyoa.com/other-pages/hijacked-journals/u,,Andrias,,http://aurarialibrary.worldcat.org/oclc/10342270
Archives des Sciences,,,,Archives des Sciences,,http://www.unige.ch/sphn/
Aula Orientalis,,http://editorialusa.com/,,Aula Orientalis,,http://www.editorialausa.com/cola12.asp
Ayer,,http://ayeronline.com/index.php/test,http://ayer.netne.net/,Ayer: Revista de Historia Contemporánea,,http://www.ahistcon.org/revistaayer.html
Baltica Journal,,http://balticajournal.com/,,Baltica,,http://www.geo.lt/geo/?id=710
BEITRAEGE ZUM NATURSCHUTZ IN DER SCHWEIZ,Switzerland Nature,http://naukpublication.org/index.php/BEITRAEGE_NATURSCHUTZ_SCHWEIZ/index,,Beiträge zum Naturschutz in der Schweiz,,http://aurarialibrary.worldcat.org/oclc/885256642
Blue Jay Journal,,http://canuorgme.org/index.php,,Blue jay,,http://www.worldcat.org/oclc/1536609
Bothalia Journal,,http://www.bthla-journal.org/,,Bothalia – African Biodiversity & Conservation,,http://www.abcjournal.org/
Bradleya,,http://www.britishedu.org.uk/,,Bradleya,,http://www.bcss.org.uk/brad.php
Buletin Teknologi Tanaman,,http://www.tektanaman.com/,http://www.e-penerbitan.org/index.php,Buletin Teknologi Tanaman,,http://www.worldcat.org/oclc/847900648
Bulletin of the Georgian National Academy of Sciences,,http://www.bnas.org/,,Bulletin of the Georgian National Academy of Sciences,,http://www.science.org.ge/moambe/moambe.html
Busqueret,,http://www.isfr.net/,,Es Busqueret,,http://www.gobmallorca.com/esbusqueret/
CADMO JOURNAL,,http://www.cadmo.org/index.php/CADMO,,CADMO,,http://www.francoangeli.it/riviste/sommario.asp?idRivista=117&amp;lingua=en
Cahiers des sciences naturelles,,http://revistas-academicas.com/cahiers/index.html,,Les cahiers des sciences naturelles,,http://www.worldcat.org/oclc/609916855
CAHIERS DE PAIOLIVE,,http://www.ijiq.com/new_002.htm,,Les Cahiers de Païolive,,http://www.worldcat.org/oclc/473132567
CEPAL Review,,http://www.cepalreview.org/,,CEPAL Review,,http://www.cepal.org/en/publications/type/cepal-review
Chemical and Process Engineering,,http://processengineering.net/,,Chemical and Process Engineering,,http://www.degruyter.com/view/j/cpe
