url,name,abbr
http://www.rapidintellect.com/AEQweb/,Academic Exchange Quarterly,
http://academicreviews.us/Default.aspx,Academic Research Reviews,
http://aocrj.org/,Academy of Contemporary Research Journal,AOCRJ
http://www.acmeintellects.org/,ACME Intellects,
http://www.cagena.com/,Acta  de Gerencia Ciencia,CAGENA
http://www.aaasjournal.com/,Acta Advances in Agricultural Sciences,AAAS
http://www.actakin.com/,Acta Kinesiologica,
http://www.tmu.ac.in/acta_publications.htm,Acta Medica International,
http://www.actaint.com/,Acta Scientiae et Intellectus,
http://actavelit.com/,Acta Velit,
http://ajemc.in/index.php/ajemc,Advance Journals of Engineering Mathematics and Computer Sciences,AJEMCS
http://www.journalresearchijf.com/,Advance Research Journal of Multidisciplinary Discoveries,
http://advancedscience.org/,The Advanced Science Journal,
http://www.scirp.org/journal/AAST,Advances in Aerospace Science and Technology,AAST
http://www.thescientificpub.com/,Advances in Biomedicine and Pharmacy,ABP
http://www.afl-journal.org/index.aspx,Advances in Forestry Letter,
http://www.astesj.com/,"Advances in Science, Technology and Engineering Systems Journal",ASTESJ / ASTES Journal
http://www.aajhss.org/index.php/aajhss,Afrasian Journal of Humanities and Social Sciences,AAJHSS
http://journals.sfu.ca/africanem/index.php/ajtcam/index,"African Journal of Traditional, Complementary and Alternative Medicines",AJTCAM
http://www.impactaging.com/index.html,Aging,
http://www.aijrrr.com/,Ahead International Journal of Recent Research Review,AIJRRR
http://ajms.alameenmedical.org/,Al Ameen Journal of Medical Sciences,AJMS
http://ajsca.org/,Aloy Journal of Soft Computing and Applications,AJSCA
http://www.abrj.org/,American Based Research Journal,ABRJ
http://aijcrnet.com/,American International Journal of Contemporary Research,AIJCR
http://www.americanij.com/,American International Journal of Contemporary Scientific Research,
http://www.esterdjipress.org/index.php/AJAAR,American Journal of Advanced Agricultural Research,AJAAR
http://ojadd.com/index.php/AJADD,American Journal of Advanced Drug Delivery,
http://www.esterdjipress.org/index.php/AJAAR,American Journal of Advanced Scientific Research,AJASR
http://www.arnaca.com/,American Journal of Advances in Medical Science,ARNACA
http://my.ejmanager.com/ajbmr/,American Journal of Biotechnology and Medical Research,
http://www.ajer.org/,American Journal of Engineering Research,
http://essencejournal.com/index.html,American Journal of Essential Oils and Natural Products,Essential oil International Journal
http://american-jiras.com/,American Journal of Innovative Research and Applied Sciences,AJIRAS
http://www.ajphr.com/,American Journal of Pharmacy and Health Research,AJPHR
http://www.ajptr.com/,American Journal of PharmTech Research,AJPTR
http://www.ajpct.org/,American Journal of Phytomedicine and Clinical Therapeutics,
http://www.usa-journals.com/,American Journal of Research Communication,AJRC
http://www.americanjournalofscientificresearch.com/,American Journal of Scientific Research,
http://www.ajsih.org/index.php/ajsih,American Journal of Social issues and Humanities,
http://researchthoughts.us/Default.aspx,American Research Thoughts,
http://asrjetsjournal.org/,"American Scientific Research Journal for Engineering, Technology, and Sciences",ASRJETS
http://tuengr.com/ATEAS/index.html,American Transactions on Engineering & Applied Sciences,
http://www.anglisticum.mk/index.php,"Anglisticum: International Journal of Literature, Linguistics & Interdisciplinary Studies",
http://www.aemed.eu/en/index.php,Annals of EURASIAN MEDICINE,
http://abmsj.co.uk/index.htm,Annals of British Medical Sciences,ABMS
http://anncaserep.com/,Annals of Clinical Case Reports,
http://aimdrjournal.com/,Annals of International Medical and Dental Research,AIMDR
http://ambs-journal.co.uk/,Annals of Medical and Biomedical Sciences,AMBS
http://ukaazpublications.com/publications/index.php,Annals of Phytomedicine,
http://arjournal.org/,Applied Research Journal,
http://www.sciencesarchive.com/,Archives Des Sciences Journal,
http://www.acesjournal.org/,Archives of Clinical and Experimental Surgery,
http://arnaca.com/,ARNACA American Journal of Advances in Medical Science,
http://ejournalofscience.org/,ARPN Journal of Science and Technology,
http://www.scientific-journals.org/,ARPN Journal of Systems and Software,
http://apjeas.apjmr.com/,"Asia Pacific Journal of Education, Arts and Sciences",APJEAS
http://www.apjmr.com/,Asia-Pacific Journal of Multidisciplinary Research,
http://ainstin.com/asian-pacific-journal-of-natural-products,Asian Pacific Journal of Natural Products,APJNP
http://apjpp.com/,Asian Pacific Journal of Pharmacy and Phytochemistry,APJPP
