url,alturl,name,abbr
http://aeglobalindex.com/,,AE Global Index,
http://journal-index.org/index.php/asi,,Advanced Science Index,
http://aqcj.org/index.html,,African Quality Centre for Journals,
http://www.journal-metrics.com/index.php,,American Standards for Journals and Research,ASJR
https://web.archive.org/web/20170111172311/http://arabimpactfactor.com/,,Arab Impact Factor,معامل التأثير العربي
http://www.citefactor.org/,,CiteFactor,
http://cosmosimpactfactor.com/,,Cosmos Impact Factor,
http://dids.info/welcome/,,Digital Identification Database System,DIDS
http://doi-ds.org/doijif/,,Digital Online Identifier-Database System,DOI Indexed Journals Impact Factor / DOIJIF
http://www.diif.org/,,Directory of Indexing and Impact Factor,DIIF
http://journalimpactfactor.co.in/Index.aspx,,Directory of Journal Quality Factor,
http://www.drji.org/DRJIValue.aspx,,Directory of Research Journals Indexing,DRJI
http://journalimpactfactor.co.in/,,Einstein Institute for Scientific Information,EISI
http://esjindex.org/index.php,,Eurasian Scientific Journal Index,ESJI
http://generalimpactfactor.com/index.php,,General Impact Factor,
http://globalimpactfactor.com/,,Global Impact Factor,
http://gscif.org/,,Global Science Citation Impact Factor,GSCIF
http://impact-factor.ru/,,IMPACT-FACTOR.RU,
http://ifsij.com/,,Impact Factor Services for International Journals,IFSIJ
http://www.isj.sjournals.net/index.php,,Index Scientific Journals,ISJ
http://journals.indexcopernicus.com/?page=10&id_lang=3,,IndexCopernicus,
http://www.infobaseindex.com/,,Infobase Index,
http://isithomsonreuters.org/,,Institute for Science Information,ISI
http://www.iarcif.org/,,International Accreditation and Research Council,IARC
http://impactfactorservice.com/home/index,,International Impact Factor Services,
http://iijif.com/index,,International Innovative Journal Impact Factor,IIJIF
http://www.impactfactorjournals.com/,,International Institute for Research,
http://www.i2or.com/,,International Institute of Organized Research,I2OR
http://www.internationaljournalimpactfactor.com/,,International Journal Impact Factor,IJIF
http://isindexing.com/isi/index.php,,International Scientific Indexing,ISI
http://www.scijournal.org/,,International Scientific Institute,ISI
http://www.journalimpactfactor.in/,,International Services for Impact Factor and Indexing,ISIFI
http://www.israjif.org/index.html,,International Society for Research Activity Journal Impact Factor,ISRA JIF
http://www.jourinfo.com/,,Jour Informatics,
http://www.jifactor.com/,,Journal Impact Factor,
http://jifactor.org/,,Journals Impact Factor,JIFACTOR
http://journalsmetrics.com/journal_influence_factor,,Journal Influence Factor,
http://ranking.journalsconsortium.org/journal_influence_factor,,Journals Consortium. Journal Influence Factor,JIF
http://www.jprsimpactfactor.com/home,,JPR Impact Factor,
http://www.opqc.org/,,Online Publications Quality Control Association,OPQC
http://oaji.net/,,Open Academic Journals Index,
http://www.prernasociety.org/default.aspx?articlaID=20,,Perma Society of Technical Education and Research,
http://www.pubicon.org/#,,Pubicon Science Index,
http://www.rjifactor.com/,,RJI Factor,Research Journal Impact Factor
http://www.rootindexing.com/,,Root Indexing,
http://scienceimpactfactor.com/,,Science Impact Factor,
http://sindexs.org/,,Scientific Indexing Services,
http://www.sjifactor.inno-space.net/,,Scientific Journal Impact Factor,
http://www.scijournal.org/,,SCIJOURNAL.ORG,International Scientific Institute
http://www.sparcindexing.org/,,SPARC Indexing,
http://sifactor.org/,,Systematic Impact Factor,
http://www.timpactfactor.com/index.html,,Technical Impact Factor,
http://uifactor.org/Default.aspx,,Universal Impact Factor,
